Country_Region,Confirmed,Deaths,Recovered
Netherlands,67520,871,0
Netherlands,10626,130,0
Netherlands,204608,2843,0
New Zealand,2162,26,2082
Nicaragua,4829,165,4225
Niger,3403,106,1828
Nigeria,88587,1294,74373
North Macedonia,83743,2510,61943
Norway,49803,436,17998
Oman,128867,1499,121890
Pakistan,8303,224,7691
Pakistan,18181,184,17752
Pakistan,4862,101,4713
Pakistan,38020,421,34617
Pakistan,59023,1661,53942
Pakistan,139341,4085,124125
Pakistan,216632,3582,196134
Panama,249733,4064,197928
Papua New Guinea,780,9,661
Paraguay,108349,2262,81977
Peru,18509,574,0
Peru,30909,2886,0
Peru,7520,361,0
Peru,48339,4261,0
Peru,15304,835,0
Peru,25250,1606,0
Peru,43393,5199,0
Peru,25418,1596,0
Peru,7903,392,0
Peru,20492,1077,0
Peru,32100,3693,0
Peru,28307,2419,0
Peru,37341,4817,0
Peru,33391,4602,0
Peru,449514,42170,0
Peru,26403,2749,0
Peru,9603,155,0
Peru,16104,881,0
Peru,6588,339,0
Peru,42790,6328,0
Peru,19379,1533,0
Peru,25818,1608,0
Peru,14736,798,0
Peru,9477,769,0
Peru,20549,1583,0
Peru,0,0,951318
Philippines,475820,9248,439895
Poland,1305774,28956,1046281
Portugal,420629,6972,338668
Qatar,144042,245,141556
Romania,636201,15841,566365
Russia,11103,92,9085
Russia,33124,888,30660
Russia,13901,103,13104
Russia,16004,105,14415
Russia,43679,443,34495
Russia,19187,389,12731
Russia,19234,145,15153
Russia,22007,262,20143
Russia,23343,216,21566
Russia,25909,595,23333
Russia,8783,93,4531
Russia,35008,542,23245
Russia,539,4,480
Russia,16488,538,14867
Russia,23622,1124,20301
Russia,12227,141,10149
Russia,40785,1233,36091
Russia,21444,521,16505
Russia,3765,72,2953
Russia,15926,263,14120
Russia,18013,178,16305
Russia,14879,200,12470
Russia,21222,172,19911
Russia,10176,82,8997
Russia,15215,41,13637
Russia,27910,163,21665
Russia,25887,470,22980
Russia,35419,204,31286
Russia,17680,264,14727
Russia,41514,544,37963
Russia,25864,230,19403
Russia,30606,578,28439
Russia,15102,235,11397
Russia,27922,946,18783
Russia,46833,1725,41500
Russia,12102,170,10678
Russia,20980,305,19071
Russia,24056,265,21690
Russia,16192,258,12378
Russia,7048,65,6542
Russia,9234,121,8219
Russia,13578,95,11225
Russia,815676,11280,633702
Russia,156898,2914,113744
Russia,36363,655,33259
Russia,796,0,697
Russia,70321,1663,62602
Russia,12098,101,10700
Russia,18520,99,13825
Russia,28037,974,24240
Russia,30368,878,27683
Russia,21544,270,19579
Russia,28922,345,25363
Russia,26244,321,21188
Russia,30956,1143,25114
Russia,29522,379,21247
Russia,23598,100,12179
Russia,52043,2077,42352
Russia,18296,162,16764
Russia,245870,7769,151505
Russia,26547,394,24026
Russia,15886,17,13460
Russia,31704,618,29316
Russia,35596,421,30519
Russia,17215,337,13823
Russia,35325,740,31909
Russia,58980,1527,51326
Russia,17810,188,15982
Russia,13375,186,10738
Russia,24600,218,20299
Russia,23056,760,20243
Russia,22503,456,17884
Russia,23523,204,22147
Russia,14791,157,13621
Russia,19854,388,16211
Russia,36589,474,33625
Russia,18739,510,16931
Russia,35699,464,33919
Russia,23761,438,19039
Russia,46589,1175,43968
Russia,32273,336,25074
Russia,22483,194,21094
Russia,27480,386,25377
Rwanda,8460,94,6598
Saint Kitts and Nevis,32,0,29
Saint Lucia,353,5,289
Saint Vincent and the Grenadines,121,0,98
Samoa,2,0,2
San Marino,2384,59,2042
Sao Tome and Principe,1022,17,973
Saudi Arabia,362878,6230,354081
Senegal,19364,410,17375
Serbia,339997,3250,0
Seychelles,267,0,214
Sierra Leone,2635,76,1906
Singapore,58629,29,58449
Slovakia,285079,2250,127190
Slovenia,123950,2728,100868
Solomon Islands,17,0,5
Somalia,4714,130,3612
South Africa,1073887,28887,887701
South Sudan,3558,63,3131
Spain,264371,5123,10671
Spain,80023,2634,3772
Spain,27171,1343,1063
Spain,35569,469,1533
Spain,148797,2941,9970
Spain,26859,415,1537
Spain,17948,393,2287
Spain,100673,4086,6392
Spain,132611,5081,8716
Spain,356724,8723,26203
Spain,3072,59,163
Spain,37208,1067,2652
Spain,61143,1379,9204
Spain,18426,586,3107
Spain,399499,11828,40736
Spain,4540,43,125
Spain,60316,744,2180
Spain,42494,960,3905
Spain,110821,2963,16160
Spain,0,0,0
Sri Lanka,43856,208,36155
Sudan,25730,1468,13524
Suriname,6277,123,5771
Sweden,4698,44,0
Sweden,10603,225,0
Sweden,14484,319,0
Sweden,2202,28,0
Sweden,12380,140,0
Sweden,4446,85,0
Sweden,17129,331,0
Sweden,6455,102,0
Sweden,8607,197,0
Sweden,7646,133,0
Sweden,13265,218,0
Sweden,13869,360,0
Sweden,66753,667,0
Sweden,9036,308,0
Sweden,118357,3271,0
Sweden,17704,352,0
Sweden,5972,122,0
Sweden,8278,83,0
Sweden,10138,225,0
Sweden,13566,260,0
Sweden,71791,1257,0
Switzerland,452296,7948,317600
Syria,11526,717,5420
Taiwan*,802,7,682
Tajikistan,13665,90,12894
Tanzania,509,21,183
Thailand,7163,63,4299
Timor-Leste,44,0,32
Togo,3662,68,3443
Trinidad and Tobago,7158,127,6671
Tunisia,140557,4730,105499
Turkey,2220855,21093,2114760
US,4239,50,0
US,13823,169,0
US,1517,33,0
US,1854,46,0
US,4693,63,0
US,888,22,0
US,1522,45,0
US,9584,157,0
US,2366,63,0
US,1429,22,0
US,3004,54,0
US,491,22,0
US,2418,26,0
US,1150,34,0
US,1036,16,0
US,3643,38,0
US,4701,60,0
US,839,17,0
US,519,7,0
US,2931,40,0
US,960,36,0
US,7194,78,0
US,3371,63,0
US,2821,43,0
US,6978,62,0
US,6542,83,0
US,2682,34,0
US,10110,96,0
US,1441,19,0
US,3300,37,0
US,1691,20,0
US,679,20,0
US,1468,33,0
US,1268,8,0
US,7371,64,0
US,5183,34,0
US,53058,719,0
US,1065,15,0
US,6566,70,0
US,2082,43,0
US,10450,75,0
US,6879,58,0
US,951,32,0
US,1009,30,0
US,22590,179,0
US,1812,26,0
US,2112,43,0
US,9271,86,0
US,26151,508,0
US,1226,11,0
US,16240,276,0
US,10817,89,0
US,0,0,0
US,879,10,0
US,1756,26,0
US,2029,23,0
US,1262,30,0
US,2824,6,0
US,15877,103,0
US,6577,73,0
US,857,24,0
US,5211,76,0
US,2383,98,0
US,18745,218,0
US,0,0,0
US,5296,138,0
US,1199,24,0
US,890,19,0
US,1977,30,0
US,39,0,0
US,198,0,0
US,22922,120,0
US,2428,9,0
US,0,0,0
US,158,0,0
US,60,0,0
US,122,1,0
US,4929,19,0
US,22,0,0
US,1050,5,0
US,3627,17,0
US,240,0,0
US,914,2,0
US,767,2,0
US,6381,16,0
US,275,0,0
US,806,2,0
US,401,0,0
US,31,1,0
US,72,1,0
US,270,0,0
US,17,0,0
US,408,3,0
US,218,0,0
US,0,0,0
US,25,0,0
US,52,1,0
US,209,4,0
US,7594,244,0
US,7585,136,0
US,11344,214,0
US,4552,136,0
US,3287,51,0
US,403,4,0
US,1523,35,0
US,325404,5196,0
US,12892,349,0
US,11559,347,0
US,0,0,0
US,70563,1082,0
US,28137,372,0
US,6082,101,0
US,0,0,0
US,11530,221,0
US,27812,527,0
US,1324,31,0
US,1291,21,0
US,2114,71,0
US,18355,266,0
US,2593,68,0
US,957,15,0
US,239,1,0
US,2110,30,0
US,1418,30,0
US,1388,21,0
US,1332,31,0
US,1286,38,0
US,577,19,0
US,1591,43,0
US,1343,16,0
US,10176,136,0
US,4542,59,0
US,4360,74,0
US,1424,36,0
US,490,11,0
US,967,11,0
US,1463,19,0
US,7817,94,0
US,1111,25,0
US,895,36,0
US,5898,154,0
US,1101,12,0
US,4463,52,0
US,1240,11,0
US,3661,56,0
US,1113,18,0
US,2809,94,0
US,1334,13,0
US,2831,22,0
US,6797,129,0
US,1885,20,0
US,345,4,0
US,1587,35,0
US,1449,26,0
US,2828,24,0
US,827,39,0
US,1453,11,0
US,4235,81,0
US,1048,12,0
US,655,24,0
US,2783,25,0
US,4411,95,0
US,486,7,0
US,508,18,0
US,598,20,0
US,557,24,0
US,1393,29,0
US,446,5,0
US,1272,25,0
US,701,10,0
US,2418,62,0
US,1275,42,0
US,5584,58,0
US,554,16,0
US,25209,392,0
US,1473,42,0
US,7751,105,0
US,611,11,0
US,510,11,0
US,9788,158,0
US,2096,20,0
US,1158,32,0
US,2758,20,0
US,770,27,0
US,2828,0,0
US,2523,73,0
US,771,8,0
US,21805,223,0
US,4893,69,0
US,367,2,0
US,2423,43,0
US,54593,579,0
US,67,0,0
US,2533,24,0
US,8609,105,0
US,1189,21,0
US,1413,7,0
US,42063,351,0
US,760,2,0
US,6193,27,0
US,72553,717,0
US,1819,9,0
US,1789,21,0
US,24262,418,0
US,614,20,0
US,69484,512,0
US,16926,108,0
US,1888,24,0
US,4641,11,0
US,790582,10552,0
US,11235,66,0
US,9915,148,0
US,255,4,0
US,2428,24,0
US,19506,229,0
US,316,0,0
US,896,3,0
US,29215,191,0
US,5924,28,0
US,2759,15,0
US,183865,1875,0
US,14628,133,0
US,421,1,0
US,197931,1990,0
US,67632,848,0
US,3805,28,0
US,209559,1590,0
US,168145,1592,0
US,24381,187,0
US,48400,657,0
US,11430,94,0
US,25174,194,0
US,18322,164,0
US,72215,680,0
US,9531,84,0
US,8866,72,0
US,32,0,0
US,1064,3,0
US,19582,97,0
US,19624,189,0
US,38472,642,0
US,6600,52,0
US,3397,9,0
US,301,2,0
US,38046,454,0
US,2927,13,0
US,0,0,0
US,43779,253,0
US,8530,120,0
US,3884,19,0
US,42940,575,0
US,1036,29,0
US,41266,607,0
US,529,1,0
US,208,2,0
US,1164,20,0
US,15667,195,0
US,3104,68,0
US,1148,21,0
US,100,6,0
US,319,2,0
US,362,4,0
US,159,2,0
US,1671,14,0
US,163,2,0
US,1799,40,0
US,51643,726,0
US,56,0,0
US,17595,210,0
US,3576,16,0
US,44440,688,0
US,1097,12,0
US,4819,30,0
US,4211,38,0
US,140,3,0
US,706,4,0
US,813,6,0
US,19,0,0
US,280,16,0
US,41,0,0
US,31701,655,0
US,78,2,0
US,462,10,0
US,2385,32,0
US,449,0,0
US,16319,179,0
US,716,9,0
US,805,3,0
US,3415,59,0
US,9853,159,0
US,45,1,0
US,621,22,0
US,1356,18,0
US,2487,39,0
US,2220,88,0
US,1704,55,0
US,165,3,0
US,0,0,0
US,432,5,0
US,313,12,0
US,1273,4,0
US,1039,20,0
US,14507,346,0
US,306,3,0
US,522,9,0
US,1111,19,0
US,280,4,0
US,29,0,0
US,439,0,0
US,157,2,0
US,2188,5,0
US,1067,12,0
US,30,0,0
US,370,11,0
US,21820,297,0
US,703,15,0
US,56288,1720,0
US,46680,1852,0
US,7476,225,0
US,6566,237,0
US,47375,1529,0
US,10618,245,0
US,4900,109,0
US,665,0,0
US,5140,78,0
US,9329,200,0
US,33433,541,0
US,15166,324,0
US,136,0,0
US,49,0,0
US,29252,788,0
US,15866,129,0
US,2470,36,0
US,11907,209,0
US,2180,23,0
US,21034,523,0
US,137610,1847,0
US,1233,28,0
US,7410,231,0
US,6663,266,0
US,11261,186,0
US,22506,332,0
US,6007,117,0
US,2898,56,0
US,1115,11,0
US,61321,725,0
US,22349,373,0
US,3724,48,0
US,900,4,0
US,3988,59,0
US,1014,23,0
US,769,11,0
US,1333,27,0
US,1277,15,0
US,2110,20,0
US,3291,49,0
US,7336,278,0
US,4975,204,0
US,77118,1071,0
US,1683,25,0
US,6875,159,0
US,4649,118,0
US,994,16,0
US,1422,22,0
US,15559,295,0
US,40635,672,0
US,19574,175,0
US,1851,19,0
US,750,14,0
US,1540,33,0
US,22332,433,0
US,17799,463,0
US,7839,210,0
US,298873,4188,0
US,4226,35,0
US,4775,66,0
US,12857,231,0
US,2430,51,0
US,76458,749,0
US,25344,288,0
US,82890,1895,0
US,21932,376,0
US,44975,1049,0
US,37403,790,0
US,3990,72,0
US,11180,128,0
US,18607,509,0
US,18083,314,0
US,13072,113,0
US,14278,405,0
US,5085,120,0
US,4015,97,0
US,1967,25,0
US,3010,0,0
US,1439,65,0
US,22291,449,0
US,2106,25,0
US,4891,48,0
US,1971,30,0
US,1688,44,0
US,778,9,0
US,1020,25,0
US,166,6,0
US,3244,75,0
US,1245,20,0
US,5433,67,0
US,8062,130,0
US,1492,44,0
US,1145,31,0
US,10250,261,0
US,1016,35,0
US,1054,20,0
US,1000,31,0
US,1963,21,0
US,4454,57,0
US,1588,20,0
US,1732,48,0
US,371,11,0
US,2515,22,0
US,690,37,0
US,7675,126,0
US,3470,39,0
US,1028,19,0
US,13710,239,0
US,2208,3,0
US,1829,47,0
US,16869,132,0
US,10184,66,0
US,179,3,0
US,14623,234,0
US,652,14,0
US,45028,577,0
US,4126,93,0
US,3179,53,0
