Geography,Geographic_Area_Name,Population 
1400000US11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",3482
1400000US11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",7138
1400000US11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",4580
1400000US11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",2370
1400000US11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",2186
1400000US11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",4555
1400000US11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",4020
1400000US11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",2545
1400000US11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",2425
1400000US11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",4066
1400000US11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",2969
1400000US11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",4950
1400000US11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",1831
1400000US11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",3017
1400000US11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",3491
1400000US11001008100,"Census Tract 81, District of Columbia, District of Columbia",3158
1400000US11001008200,"Census Tract 82, District of Columbia, District of Columbia",2884
1400000US11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",2875
1400000US11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",2874
1400000US11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",2372
1400000US11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",2069
1400000US11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",2683
1400000US11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",3190
1400000US11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",4306
1400000US11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",3547
1400000US11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",2794
1400000US11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",3765
1400000US11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",4070
1400000US11001009000,"Census Tract 90, District of Columbia, District of Columbia",3566
1400000US11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",4820
1400000US11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",3099
1400000US11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",3095
1400000US11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",3249
1400000US11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",3529
1400000US11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",1629
1400000US11001009400,"Census Tract 94, District of Columbia, District of Columbia",4932
